User_ID,Visit_Date,Traffic_Source,Device,Country,User_Age,Gender,Product_Category,Product_Price,Added_To_Cart,Reached_Checkout,Purchased,Order_Value,Abandoned_Cart
1,2025-12-05 05:46:57.817895,Facebook,Desktop,UK,47,Female,Beauty,86.32,Yes,Yes,Yes,86.32,No
2,2026-02-20 05:46:57.817895,Google,Mobile,Pakistan,31,Male,Clothing,72.76,Yes,Yes,Yes,72.76,No
3,2025-11-25 05:46:57.817895,Direct,Mobile,USA,54,Male,Electronics,15.96,No,No,No,0.0,No
4,2025-09-08 05:46:57.817895,Referral,Mobile,Australia,49,Female,Beauty,318.82,Yes,Yes,Yes,318.82,No
5,2025-12-09 05:46:57.817895,Referral,Mobile,UK,51,Male,Sports,185.92,Yes,Yes,No,0.0,Yes
6,2025-11-04 05:46:57.817895,Email,Desktop,Germany,58,Male,Electronics,61.54,No,No,No,0.0,No
7,2025-09-14 05:46:57.817895,Referral,Mobile,Germany,39,Female,Beauty,168.19,Yes,Yes,Yes,168.19,No
8,2025-12-05 05:46:57.817895,Facebook,Mobile,UK,48,Male,Clothing,92.78,No,No,No,0.0,No
9,2025-12-24 05:46:57.817895,Referral,Desktop,Germany,24,Female,Sports,471.43,Yes,No,No,0.0,Yes
10,2025-11-07 05:46:57.817895,Email,Mobile,UK,58,Male,Electronics,166.8,Yes,No,No,0.0,Yes
11,2025-11-20 05:46:57.817895,Direct,Mobile,USA,38,Male,Clothing,173.64,Yes,No,No,0.0,Yes
12,2025-12-19 05:46:57.817895,Direct,Desktop,UK,33,Female,Sports,421.53,Yes,No,No,0.0,Yes
13,2025-12-02 05:46:57.817895,Referral,Mobile,Pakistan,37,Male,Home,327.4,Yes,Yes,Yes,327.4,No
14,2025-12-06 05:46:57.817895,Google,Desktop,Pakistan,36,Female,Clothing,357.98,No,No,No,0.0,No
15,2026-01-23 05:46:57.817895,Direct,Desktop,Canada,49,Male,Home,321.64,Yes,Yes,Yes,321.64,No
16,2026-01-02 05:46:57.817895,Referral,Mobile,Germany,32,Male,Electronics,473.64,Yes,No,No,0.0,Yes
17,2026-01-21 05:46:57.817895,Email,Mobile,Australia,22,Female,Beauty,111.43,Yes,Yes,Yes,111.43,No
18,2025-10-16 05:46:57.817895,Referral,Mobile,Germany,28,Female,Electronics,494.63,Yes,No,No,0.0,Yes
19,2025-08-26 05:46:57.817895,Direct,Mobile,UK,32,Male,Clothing,417.17,No,No,No,0.0,No
20,2025-11-20 05:46:57.817895,Email,Desktop,Australia,46,Male,Home,298.6,No,No,No,0.0,No
21,2026-01-29 05:46:57.817895,Referral,Desktop,Australia,21,Male,Home,334.56,No,No,No,0.0,No
22,2025-10-01 05:46:57.817895,Facebook,Mobile,Germany,53,Female,Sports,327.92,Yes,Yes,Yes,327.92,No
23,2026-01-01 05:46:57.817895,Email,Desktop,Australia,40,Female,Electronics,38.61,Yes,Yes,Yes,38.61,No
24,2025-09-14 05:46:57.817895,Facebook,Tablet,Australia,32,Male,Electronics,116.83,Yes,Yes,No,0.0,Yes
25,2026-02-01 05:46:57.817895,Google,Tablet,Pakistan,20,Male,Clothing,481.12,No,No,No,0.0,No
26,2025-10-21 05:46:57.817895,Email,Mobile,USA,49,Male,Home,271.84,Yes,No,No,0.0,Yes
27,2025-09-15 05:46:57.817895,Facebook,Mobile,UK,27,Female,Clothing,195.39,Yes,No,No,0.0,Yes
28,2025-11-21 05:46:57.817895,Direct,Mobile,Germany,57,Male,Clothing,383.4,Yes,No,No,0.0,Yes
29,2025-10-12 05:46:57.817895,Direct,Tablet,Pakistan,55,Female,Home,267.01,No,No,No,0.0,No
30,2025-10-22 05:46:57.817895,Google,Mobile,Canada,39,Female,Clothing,16.45,No,No,No,0.0,No
31,2026-02-10 05:46:57.817895,Email,Mobile,Australia,31,Male,Home,370.76,No,No,No,0.0,No
32,2025-09-08 05:46:57.817895,Email,Mobile,Australia,34,Female,Clothing,368.79,Yes,Yes,Yes,368.79,No
33,2026-02-15 05:46:57.817895,Email,Mobile,Germany,38,Female,Beauty,90.92,No,No,No,0.0,No
34,2025-10-14 05:46:57.817895,Google,Mobile,USA,32,Male,Clothing,478.76,Yes,Yes,Yes,478.76,No
35,2025-12-10 05:46:57.817895,Email,Tablet,USA,32,Male,Clothing,119.71,No,No,No,0.0,No
36,2025-10-18 05:46:57.817895,Direct,Mobile,Germany,18,Male,Beauty,234.3,No,No,No,0.0,No
37,2025-10-27 05:46:57.817895,Facebook,Mobile,Germany,41,Male,Electronics,66.22,No,No,No,0.0,No
38,2026-01-02 05:46:57.817895,Direct,Mobile,Pakistan,29,Male,Home,305.61,No,No,No,0.0,No
39,2025-10-14 05:46:57.817895,Direct,Mobile,Germany,27,Male,Sports,193.97,Yes,Yes,Yes,193.97,No
40,2026-01-06 05:46:57.817895,Facebook,Mobile,Canada,59,Male,Beauty,183.05,Yes,No,No,0.0,Yes
41,2025-09-14 05:46:57.817895,Direct,Mobile,Pakistan,59,Female,Electronics,415.22,Yes,Yes,Yes,415.22,No
42,2025-11-05 05:46:57.817895,Google,Mobile,Australia,48,Male,Clothing,14.69,Yes,Yes,Yes,14.69,No
43,2026-02-07 05:46:57.817895,Facebook,Mobile,Australia,28,Male,Electronics,400.99,Yes,Yes,Yes,400.99,No
44,2025-09-11 05:46:57.817895,Direct,Mobile,Australia,33,Male,Beauty,290.01,Yes,Yes,Yes,290.01,No
45,2026-01-03 05:46:57.817895,Referral,Mobile,Australia,26,Male,Clothing,493.19,No,No,No,0.0,No
46,2025-11-21 05:46:57.817895,Direct,Tablet,UK,31,Male,Electronics,298.83,Yes,Yes,Yes,298.83,No
47,2025-10-23 05:46:57.817895,Google,Tablet,Canada,36,Male,Sports,37.14,No,No,No,0.0,No
48,2025-09-07 05:46:57.817895,Email,Mobile,Pakistan,48,Female,Home,34.82,No,No,No,0.0,No
49,2025-09-02 05:46:57.817895,Direct,Mobile,Pakistan,26,Male,Home,442.74,Yes,Yes,Yes,442.74,No
50,2025-11-22 05:46:57.817895,Email,Tablet,Australia,53,Female,Beauty,422.19,Yes,Yes,Yes,422.19,No
51,2025-10-16 05:46:57.817895,Referral,Mobile,USA,56,Male,Clothing,179.49,Yes,No,No,0.0,Yes
